Timestep, S, V, S+V, I+VI, R, I, VI
391, 32780, 135444, 200000, 0, 31776, 0, 0
392, 32385, 135839, 200000, 0, 31776, 0, 0
393, 31986, 136238, 200000, 0, 31776, 0, 0
394, 31586, 136638, 200000, 0, 31776, 0, 0
395, 31188, 137036, 200000, 0, 31776, 0, 0
396, 30790, 137434, 200000, 0, 31776, 0, 0
397, 30395, 137829, 200000, 0, 31776, 0, 0
398, 29997, 138227, 200000, 0, 31776, 0, 0
399, 29598, 138626, 200000, 0, 31776, 0, 0
400, 29201, 139023, 200000, 0, 31776, 0, 0
